level,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
31,1029139747,807253125,812610831,648415785,699756476,794917989,736309559,713671758,724846879,845407091,785357254,896501151,820802507,970288426,1007963544,834190947,
30,1085171468,824922928,824016593,739113077,769878406,820759988,885877136,696493564,852592313,724878854,760495716,939188016,968513670,050640066,881875924,822008492,
29,999051361,771595260,617040573,757599218,739759419,652622986,764725800,671050876,797854666,782666340,725007009,899608124,875263351,951270574,903065694,783700392,
28,910172354,734998712,587350578,719616839,684709674,747762332,753607280,671754789,807259632,680543944,806991788,877102109,886236290,759178811,727625074,755932035,
27,740080643,580129511,560234721,588765084,616861273,736005091,657964582,616942880,621935990,646809688,837836739,840118697,843949858,674180520,799517326,730477633,
26,779857273,561063779,534398301,659075701,554444823,705295503,602219840,717458508,611449493,633676837,659548822,722995872,727152730,736005566,803912642,845543220,
25,650166256,579411814,495589734,623056534,529832085,668831041,535104637,619867315,711575456,600358927,783812511,781799461,798213844,637772119,770006445,823105856,
24,621601066,541350102,460829640,545274214,559047290,606297219,524933375,547249231,611200961,592688992,614194543,708250913,641973863,599974347,659082568,677238603,
23,558540914,412168034,410486461,454860637,532185872,470358451,495180553,519543746,531491353,688543502,594043003,553872943,552585005,575741069,710293809,760984182,
22,536458300,440350019,407570251,442109887,477207650,449935069,550553739,494504468,511766224,535707745,642051978,591022802,540089494,557017597,684484693,718782567,
21,523637716,373649279,394009763,374075349,444444494,457243745,464266174,468186329,484239546,630119574,561433368,564858542,575481512,526433939,641808215,606756112,
20,455186153,353914136,350643514,395113692,409820097,372100220,505843091,447668608,465211674,526493927,444051264,495261572,555994439,616647812,625075716,670623756,
19,405859918,311050222,316308685,363204529,358159389,396123940,450311963,423394607,535846419,491665645,428012278,521003658,528029591,553213120,536604406,557651663,
18,382352355,321686370,296792820,335908316,343391898,381269559,402633549,405313190,402935187,395017901,408310040,500683176,507878990,496597667,521335109,612581348,
17,338096320,299300120,261726937,283069741,293940886,306639990,378393781,381819315,342214710,375518471,462789231,473079871,422636953,469699249,472984286,545579211,
16,314634509,255251800,240961566,267956423,292413812,336327718,362376652,340780855,329789922,414267327,428165743,458215472,465223720,519020571,457469896,477372018,
15,300884820,218851427,230084701,229497239,264792860,270000242,323958631,331421273,302748875,382268249,361537652,383995728,438125334,484706760,522782403,545522724,
14,257584206,206365030,217232175,206114197,228976082,257074468,281818315,267502965,325980515,355291740,360645727,364972559,367732062,468151038,417852325,479140364,
13,242087151,189655776,201495746,191547450,217784390,237641827,252887604,293679687,301688482,319042366,329122924,388410667,345674261,440257800,475491776,495262366,
12,218658921,189663235,183005850,180384281,199071253,218775479,239518598,239287101,287591423,300882305,310188948,328946892,379086367,393778789,454372769,391867566,
11,181060815,145120259,147644933,165393383,188330094,177612316,220822951,260895013,257078456,271480417,304693984,324098174,351456924,345691854,425072502,366645382,
10,154060818,135145717,137572443,154546671,168280682,174631418,189081555,209965565,226138665,243633835,258868457,310553306,285968761,328347135,335306948,426261196,
9,128215091,120960741,127576416,141182480,133799760,158019759,168645623,191968548,207225915,248808350,260771542,253457707,280702719,352345318,318353422,325668212,
8,113293105,114680101,116989552,127995142,124710371,136834647,153882653,186098589,195087183,204262749,237944088,241227120,239899247,330362242,362543812,311722751,
7,90774422,90588294,103828962,100575924,115636327,124019297,142337745,152716556,164962655,214974267,227485190,218602842,217579463,266327205,333728242,349216252,
6,78400254,76246160,90122012,90844089,106376057,118857528,129372381,156761647,158452304,176691089,192640002,226644722,215667886,236863521,260162295,274226719,
5,60324583,70043011,69450433,82307718,95367544,103040839,117903999,140717895,143290031,157465120,166242373,207231283,188301420,235576752,282587539,250574645,
4,49828583,58487554,60695036,74377928,82798431,93998407,106026075,130153642,132774123,146681711,150233534,187917519,191942107,221152573,214637621,237337088,
3,36010422,41481526,51316907,61886097,71247419,85930022,95573474,104677810,113409055,121406793,133789281,149483109,143340973,199100077,188594828,251653973,
2,27494538,33337886,44247231,55299358,65550297,74011986,84724177,97458577,104449622,118790742,123535696,138221243,138142785,166670652,175743829,190895155,
1,17576591,26026759,34966577,45257575,52715794,64966041,71501298,83932750,90184734,97330012,107427200,121621226,121410785,139738416,181942404,169153225,
